Model,128 Memory,512 Memory,1024 Memory,Scaling Factor
bloomz-1b1,N/A,N/A,N/A,N/A
bloomz-3b,N/A,N/A,N/A,N/A
bloomz-3b,N/A,N/A,N/A,N/A
Cerebras-GPT-111M,N/A,N/A,N/A,N/A
Cerebras-GPT-111M,N/A,N/A,N/A,N/A
Cerebras-GPT-256M,N/A,N/A,N/A,N/A
Cerebras-GPT-256M,N/A,N/A,N/A,N/A
Cerebras-GPT-590M,N/A,N/A,N/A,N/A
Cerebras-GPT-590M,N/A,N/A,N/A,N/A
Cerebras-GPT-1.3B,N/A,N/A,N/A,N/A
Cerebras-GPT-1.3B,N/A,N/A,N/A,N/A
Cerebras-GPT-2.7B,N/A,N/A,N/A,N/A
Cerebras-GPT-2.7B,N/A,N/A,N/A,N/A
Cerebras-GPT-6.7B,N/A,N/A,N/A,N/A
Cerebras-GPT-6.7B,N/A,N/A,N/A,N/A
phi-2,N/A,N/A,N/A,N/A
phi-2,N/A,N/A,N/A,N/A
stablelm-base-alpha-3b,N/A,N/A,N/A,N/A
stablelm-base-alpha-3b,N/A,N/A,N/A,N/A
codebert-base,N/A,N/A,N/A,N/A
codebert-base,N/A,N/A,N/A,N/A
codet5-base,N/A,N/A,N/A,N/A
codet5-base,N/A,N/A,N/A,N/A
scibert_scivocab_uncased,N/A,N/A,N/A,N/A
scibert_scivocab_uncased,N/A,N/A,N/A,N/A
Bio_ClinicalBERT,N/A,N/A,N/A,N/A
Bio_ClinicalBERT,N/A,N/A,N/A,N/A
biobert-base-cased-v1.1,N/A,N/A,N/A,N/A
biobert-base-cased-v1.1,N/A,N/A,N/A,N/A
finbert,N/A,N/A,N/A,N/A
finbert,N/A,N/A,N/A,N/A
legal-bert-base-uncased,N/A,N/A,N/A,N/A
legal-bert-base-uncased,N/A,N/A,N/A,N/A
CodeBERTa-small-v1,N/A,N/A,N/A,N/A
CodeBERTa-small-v1,N/A,N/A,N/A,N/A
GODEL-v1_1-base-seq2seq,N/A,N/A,N/A,N/A
GODEL-v1_1-base-seq2seq,N/A,N/A,N/A,N/A
blenderbot-400M-distill,N/A,N/A,N/A,N/A
blenderbot-400M-distill,N/A,N/A,N/A,N/A
blenderbot-1B-distill,N/A,N/A,N/A,N/A
blenderbot-1B-distill,N/A,N/A,N/A,N/A
blenderbot-3B,N/A,N/A,N/A,N/A
blenderbot-3B,N/A,N/A,N/A,N/A
pygmalion-350m,N/A,N/A,N/A,N/A
pygmalion-350m,N/A,N/A,N/A,N/A
pygmalion-1.3b,N/A,N/A,N/A,N/A
pygmalion-1.3b,N/A,N/A,N/A,N/A
pygmalion-2.7b,N/A,N/A,N/A,N/A
pygmalion-2.7b,N/A,N/A,N/A,N/A
